"PLU / Item Category Report","PLUNumber","Name","Sold","%","ItemSales","TotDisc","FOC","Revenue","%","Voids","Rfnds","DINE IN"
"Beverages"
"DESSERTS"
"000000000000115","Mango Cream","3","0","75000","0","0","75000","0","0","0","STotal","7891","100","198161000","486700","15270000","197674300","100","0","0","Bill  Discount","0","GTotal","7891","100","198161000","486700","15270000","197674300","100","0","0","Page 1 of ","1"
"PLU / Item Category Report","PLUNumber","Name","Sold","%","ItemSales","TotDisc","FOC","Revenue","%","Voids","Rfnds","000000000000128","Oreo Shake","8","0","200000","0","25000","200000","0","0","0","STotal","7891","100","198161000","486700","15270000","197674300","100","0","0","Bill  Discount","0","GTotal","7891","100","198161000","486700","15270000","197674300","100","0","0","Page 1 of ","1"
"PLU / Item Category Report","PLUNumber","Name","Sold","%","ItemSales","TotDisc","FOC","Revenue","%","Voids","Rfnds","000000000000129","Strawberry Shake","18","0","450000","0","150000","450000","0","0","0","STotal","7891","100","198161000","486700","15270000","197674300","100","0","0","Bill  Discount","0","GTotal","7891","100","198161000","486700","15270000","197674300","100","0","0","Page 1 of ","1"
"PLU / Item Category Report","PLUNumber","Name","Sold","%","ItemSales","TotDisc","FOC","Revenue","%","Voids","Rfnds","000000000000131","Iced Chocolate Mint","4","0","100000","0","50000","100000","0","0","0","STotal","7891","100","198161000","486700","15270000","197674300","100","0","0","Bill  Discount","0","GTotal","7891","100","198161000","486700","15270000","197674300","100","0","0","Page 1 of ","1"
"PLU / Item Category Report","PLUNumber","Name","Sold","%","ItemSales","TotDisc","FOC","Revenue","%","Voids","Rfnds","000000000000132","Thai Milk Tea","6","0","150000","0","25000","150000","0","0","0","STotal","7891","100","198161000","486700","15270000","197674300","100","0","0","Bill  Discount","0","GTotal","7891","100","198161000","486700","15270000","197674300","100","0","0","Page 1 of ","1"
"PLU / Item Category Report","PLUNumber","Name","Sold","%","ItemSales","TotDisc","FOC","Revenue","%","Voids","Rfnds","000000000000133","Thai Milk Green Tea","5","0","125000","0","50000","125000","0","0","0","STotal","7891","100","198161000","486700","15270000","197674300","100","0","0","Bill  Discount","0","GTotal","7891","100","198161000","486700","15270000","197674300","100","0","0","Page 1 of ","1"
"PLU / Item Category Report","PLUNumber","Name","Sold","%","ItemSales","TotDisc","FOC","Revenue","%","Voids","Rfnds","000000000000134","Thai Milk Coffee","2","0","50000","0","0","50000","0","0","0","STotal","7891","100","198161000","486700","15270000","197674300","100","0","0","Bill  Discount","0","GTotal","7891","100","198161000","486700","15270000","197674300","100","0","0","Page 1 of ","1"
"PLU / Item Category Report","PLUNumber","Name","Sold","%","ItemSales","TotDisc","FOC","Revenue","%","Voids","Rfnds","000000000000135","Iced Happy Panda","1","0","19000","0","0","19000","0","0","0","STotal","7891","100","198161000","486700","15270000","197674300","100","0","0","Bill  Discount","0","GTotal","7891","100","198161000","486700","15270000","197674300","100","0","0","Page 1 of ","1"
"PLU / Item Category Report","PLUNumber","Name","Sold","%","ItemSales","TotDisc","FOC","Revenue","%","Voids","Rfnds","000000000000136","Orange Juice","34","0","850000","0","325000","850000","0","0","0","STotal","7891","100","198161000","486700","15270000","197674300","100","0","0","Bill  Discount","0","GTotal","7891","100","198161000","486700","15270000","197674300","100","0","0","Page 1 of ","1"
"PLU / Item Category Report","PLUNumber","Name","Sold","%","ItemSales","TotDisc","FOC","Revenue","%","Voids","Rfnds","000000000000137","Avocado Juice","73","1","1825000","0","575000","1825000","1","0","0","STotal","7891","100","198161000","486700","15270000","197674300","100","0","0","Bill  Discount","0","GTotal","7891","100","198161000","486700","15270000","197674300","100","0","0","Page 1 of ","1"
"PLU / Item Category Report","PLUNumber","Name","Sold","%","ItemSales","TotDisc","FOC","Revenue","%","Voids","Rfnds","000000000000138","Avocado Coffee","8","0","200000","0","75000","200000","0","0","0","STotal","7891","100","198161000","486700","15270000","197674300","100","0","0","Bill  Discount","0","GTotal","7891","100","198161000","486700","15270000","197674300","100","0","0","Page 1 of ","1"
